question,worker,answer
1,1,3
1,2,2
1,3,0
1,4,0
1,5,3
1,6,2
1,7,2
1,8,0
1,9,3
1,10,2
2,11,2
2,12,2
2,13,3
2,14,2
2,15,2
2,1,2
2,16,2
2,17,2
2,3,2
2,9,3
3,12,1
3,3,3
3,13,1
3,17,1
3,18,3
3,19,1
3,20,3
3,21,1
3,22,0
3,16,0
4,23,3
4,24,0
4,25,3
4,26,3
4,27,0
4,28,0
4,29,3
4,30,0
4,20,3
4,31,0
5,32,2
5,33,3
5,16,3
5,3,3
5,20,3
5,34,3
5,28,3
5,25,3
5,31,2
5,35,3
6,35,2
6,1,2
6,36,3
6,37,2
6,38,2
6,13,2
6,16,2
6,20,2
6,39,0
6,25,2
7,13,1
7,40,1
7,35,0
7,41,2
7,34,1
7,42,1
7,21,1
7,9,1
7,43,2
7,11,0
8,1,0
8,40,3
8,44,0
8,3,0
8,45,0
8,23,1
8,46,3
8,47,3
8,20,3
8,5,1
9,48,0
9,49,0
9,50,0
9,35,0
9,51,1
9,52,0
9,27,0
9,34,0
9,16,2
9,9,0
10,2,2
10,16,0
10,53,1
10,54,0
10,34,0
10,51,0
10,21,0
10,12,0
10,3,1
10,9,0
11,50,0
11,25,2
11,31,0
11,5,0
11,39,2
11,54,2
11,35,0
11,19,0
11,55,2
11,3,2
12,50,0
12,2,1
12,1,1
12,10,0
12,43,2
12,4,2
12,34,1
12,8,2
12,31,1
12,26,2
13,2,3
13,14,2
13,1,3
13,25,2
13,43,2
13,9,3
13,10,3
13,5,2
13,12,3
13,13,3
14,12,1
14,35,0
14,36,1
14,56,1
14,9,1
14,57,1
14,58,2
14,44,0
14,16,0
14,6,1
15,40,1
15,55,1
15,34,3
15,36,3
15,42,3
15,16,3
15,59,3
15,43,1
15,3,1
15,28,3
16,47,3
16,56,0
16,34,0
16,60,3
16,50,0
16,61,0
16,11,1
16,25,2
16,31,0
16,62,3
17,13,3
17,40,1
17,10,3
17,39,1
17,17,3
17,21,3
17,43,0
17,45,3
17,22,2
17,58,2
18,43,1
18,3,1
18,40,1
18,26,1
18,17,1
18,18,1
18,9,1
18,61,1
18,13,1
18,54,2
19,16,0
19,12,0
19,3,1
19,53,1
19,31,0
19,9,0
19,55,1
19,13,0
19,34,0
19,14,0
20,13,0
20,11,0
20,36,1
20,47,3
20,15,1
20,23,3
20,9,1
20,55,3
20,16,0
20,61,1
21,50,2
21,43,0
21,2,2
21,47,0
21,23,0
21,40,3
21,63,2
21,16,2
21,15,2
21,34,3
22,13,3
22,11,3
22,17,3
22,9,3
22,56,2
22,22,3
22,35,1
22,23,2
22,55,2
22,21,3
23,48,0
23,1,0
23,39,1
23,3,1
23,64,0
23,13,0
23,10,0
23,55,1
23,36,0
23,20,1
24,49,1
24,53,3
24,25,0
24,62,0
24,37,0
24,13,1
24,65,0
24,23,0
24,54,3
24,47,0
25,2,2
25,50,3
25,3,0
25,22,3
25,58,2
25,44,3
25,10,3
25,34,3
25,66,0
25,9,2
26,4,2
26,31,3
26,49,3
26,53,2
26,34,3
26,47,2
26,20,2
26,58,2
26,22,3
26,16,3
27,2,3
27,3,0
27,67,2
27,13,3
27,25,0
27,52,3
27,56,2
27,23,0
27,34,3
27,9,3
28,14,0
28,3,0
28,27,2
